City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,hajjah,15.6943,43.6058,71.74,49,93,5.35,YE,1695001335
274,talara,-4.5772,-81.2719,74.16,73,40,18.01,PE,1695001335
275,egilsstadir,65.2653,-14.3948,48.11,81,75,2.3,IS,1695001335
276,mugia,43.1041,-9.2179,65.91,83,10,11.88,ES,1695001335
277,sulejow,51.3544,19.8854,67.21,62,100,5.86,PL,1695001335
278,arno,60.1167,18.6333,54.79,73,9,4.07,SE,1695001336
279,tolanaro,-25.0319,46.9987,66.27,94,20,0.0,MG,1695001336
280,zermatt,46.0213,7.7491,55.63,97,100,8.79,CH,1695001336
281,turpan,42.9333,89.1667,75.65,25,15,5.41,CN,1695001336
282,apolinario saravia,-24.4328,-63.9954,84.22,28,97,16.69,AR,1695001337
283,port isabel,26.0734,-97.2086,84.27,78,0,5.99,US,1695001337
284,jayapura,-2.5333,140.7,88.99,68,43,5.46,ID,1695001337
285,grand baie,-20.0182,57.5802,74.44,70,67,3.0,MU,1695001337
286,naze,28.3667,129.4833,83.32,72,36,6.51,JP,1695001338
287,nabire,-3.3667,135.4833,83.82,70,92,3.27,ID,1695001338
288,melfort,52.8667,-104.6177,73.53,28,88,8.05,CA,1695001338
289,camana,-16.6228,-72.7111,65.28,84,12,5.26,PE,1695001338
290,landivisiau,48.5078,-4.0683,62.65,100,100,11.5,FR,1695001339
291,ust-nera,64.5667,143.2,41.9,60,84,4.79,RU,1695001339
292,chonchi,-42.6128,-73.8092,37.11,93,22,1.9,CL,1695001339
293,aydintepe,40.3894,40.1506,43.47,91,6,3.89,TR,1695001339
294,banes,20.9625,-75.7186,80.47,80,77,7.47,CU,1695001340
295,nova xavantina,-14.6667,-52.35,84.04,38,31,2.73,BR,1695001340
296,bulungu,-4.55,18.6,74.37,84,100,4.03,CD,1695001340
297,temiskaming shores,47.4938,-79.7153,55.2,91,100,6.93,CA,1695001340
298,sarupathar,26.1984,93.8094,80.65,88,100,0.58,IN,1695001341
299,conduaga,8.862,117.4893,83.55,78,100,3.06,PH,1695001341
300,san antonio de pale,-1.4014,5.6325,75.36,85,74,11.54,GQ,1695001341
301,hamilton,39.1834,-84.5333,67.41,78,100,4.61,US,1695001108
302,tazacorte,28.629,-17.9293,70.77,72,100,11.5,ES,1695001342
303,sampacho,-33.3839,-64.7221,48.45,35,1,12.68,AR,1695001342
304,haiku-pauwela,20.9219,-156.3051,82.42,63,40,24.16,US,1695001342
305,vorkuta,67.5,64.0,32.77,91,9,3.8,RU,1695001342
306,korla,41.7597,86.1469,66.04,32,32,10.42,CN,1695001343
307,colorado,-22.8375,-51.9731,78.13,35,10,7.09,BR,1695001343
308,sinabang,2.4803,96.3801,82.33,77,33,8.14,ID,1695001343
309,kataba,13.9833,44.3833,67.55,42,97,3.85,YE,1695001343
310,gucheng chengguanzhen,32.266,111.6348,78.48,82,100,3.69,CN,1695001344
311,smithers,54.7804,-127.1743,57.52,41,40,14.97,CA,1695001154
312,inari,68.906,27.0288,32.2,92,77,4.76,FI,1695001344
313,ust'-kalmanka,52.1207,83.305,55.13,83,25,4.76,RU,1695001344
314,kavaratti,10.5669,72.642,81.59,80,98,11.3,IN,1695001345
315,sao joao da barra,-21.6403,-41.0511,72.0,86,3,19.3,BR,1695001345
316,wulingyuan,29.3494,110.5441,87.53,58,100,1.74,CN,1695001345
317,viqueque,-8.8673,126.3658,83.39,56,13,7.54,TL,1695001345
318,zheleznodorozhnyy,55.7503,38.0042,50.61,74,100,6.55,RU,1695001346
319,sandnessjoen,66.0217,12.6316,39.72,66,100,11.81,NO,1695001346
320,chokwe,-24.5333,32.9833,62.44,82,15,5.3,MZ,1695001346
321,hampton bays,40.869,-72.5176,69.87,89,100,12.17,US,1695001347
322,nago,26.5881,127.9761,88.65,70,12,2.77,JP,1695001347
323,lammi,61.0833,25.0167,41.32,94,22,4.14,FI,1695001347
324,galliano,29.4422,-90.2992,80.01,83,0,0.0,US,1695001347
325,sydney mines,46.2367,-60.2177,64.9,92,75,9.22,CA,1695001348
326,pechory,57.8164,27.6119,38.66,95,73,3.58,RU,1695001348
327,puerto cabello,10.4731,-68.0125,87.35,76,100,4.09,VE,1695001348
328,safi,32.1667,-8.8333,64.17,76,93,5.93,MA,1695001349
329,jamalpur,24.9167,89.9333,85.35,78,22,10.54,BD,1695001349
330,guarapari,-20.6667,-40.4975,72.9,90,0,11.74,BR,1695001349
331,selkirk,50.1436,-96.8845,62.67,73,3,1.99,CA,1695001330
332,tralee,52.2704,-9.7026,51.62,91,45,7.02,IE,1695001350
333,zhanga buqtyrma,49.6295,83.5248,53.58,75,7,1.86,KZ,1695001350
334,katiola,8.1333,-5.1,69.66,97,98,1.07,CI,1695001350
335,howard springs,-12.497,131.047,86.88,35,96,9.57,AU,1695001350
336,susanville,40.4163,-120.653,78.64,24,0,6.91,US,1695001293
337,nguigmi,14.2495,13.1092,85.03,51,11,11.97,NE,1695001351
338,cortez,37.3489,-108.5859,74.16,32,0,3.44,US,1695001188
339,peace river,56.2501,-117.286,66.51,42,75,10.36,CA,1695001351
340,pekan,3.4836,103.3996,80.71,77,71,3.8,MY,1695001352
341,wellington,-41.2866,174.7756,64.06,57,4,23.02,NZ,1695001308
342,harper,4.375,-7.7169,77.65,85,100,9.01,LR,1695001352
343,flin flon,54.7682,-101.865,63.12,56,49,11.39,CA,1695001352
344,sankt johann in tirol,47.5233,12.4232,59.25,80,3,6.26,AT,1695001352
345,olhao,37.0286,-7.8411,66.09,87,20,3.44,PT,1695001353
346,nikki,9.9401,3.2108,72.09,98,98,3.58,BJ,1695001353
347,staritsa,56.5075,34.9354,53.69,84,100,6.29,RU,1695001353
348,nouadhibou,20.931,-17.0347,71.58,83,5,9.22,MR,1695001353
349,altus,34.6381,-99.334,81.91,38,0,5.75,US,1695001354
350,vorgashor,67.5833,63.95,32.49,91,9,3.91,RU,1695001354
351,ust'-kulom,61.6864,53.6902,48.13,87,100,7.27,RU,1695001354
352,prince albert,53.2001,-105.7677,73.35,35,40,11.5,CA,1695001354
353,kattivakkam,13.2167,80.3167,80.69,84,100,12.77,IN,1695001355
354,igrim,63.1906,64.4162,46.02,76,96,5.01,RU,1695001355
355,fort bragg,35.139,-79.006,71.82,97,100,0.0,US,1695001355
356,sur,22.5667,59.5289,84.33,67,100,5.23,OM,1695001356
357,calasparra,38.23,-1.6999,71.64,64,100,7.02,ES,1695001356
358,valkeakoski,61.2642,24.0312,43.43,86,18,4.29,FI,1695001356
359,cidreira,-30.1811,-50.2056,69.08,73,0,11.54,BR,1695001297
360,susuman,62.7833,148.1667,41.83,51,37,0.54,RU,1695001357
361,cururupu,-1.8283,-44.8683,74.44,93,40,3.13,BR,1695001357
